id,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,con
11289,21Alp And,Alpheratz,0.13976889,29.09082805,29.7442,135.68,-162.95,-12,2.07,-0.297,B8P,-0.038,25.975,0.951,14.461,-1.64E-08,1.96E-05,-2.65E-05,And
12359,11Bet Cas,Caph,0.152887,59.14978,16.7842,523.39,-180.42,11.3,2.28,1.155,F2III-IV,0.38,8.6,0.345,14.41,1.68E-05,4.33E-05,2.39E-06,Cas
17696,88Gam Peg,Algenib,0.220598,15.183596,143.9383,0.492,-10.73,4,2.83,-2.961,B2IV,-0.19,138.682,8.018,37.699,5.88E-06,6.84E-07,-6.15E-06,Peg
24500,,Groombridge 34,0.30635704,44.02295051,3.5624,2891.518,411.832,11.367,8.09,10.331,M1V,1.56,2.553,0.205,2.476,-5.95E-07,5.01E-05,1.32E-05,And
25698,,Citadelle,0.32140693,14.05475211,192.2421,74.472,-17.069,-9.976,8.36,1.941,K0,0.92,185.827,15.673,46.686,-1.18E-05,6.87E-05,-1.79E-05,Psc
34838,Alp Phe,Ankaa,0.43806277,-42.30607839,25.974,232.76,-353.64,75,2.4,0.327,K0 IIIB,1.083,19.084,2.198,-17.483,2.32E-05,3.22E-05,-8.46E-05,Phe
37772,,Felixvarela,0.47619588,-16.22634169,34.5157,-354.939,-227.995,2.933,9.62,6.93,K 5 V,1.128,32.884,4.121,-9.645,-3.35E-07,-5.99E-05,-3.75E-05,Cet
48343,17Zet Cas,Fulu,0.616188,53.896909,150.0225,17.444,-9.523,2,3.69,-2.191,B2IV,-0.196,87.251,14.199,121.212,4.67E-06,1.36E-05,-2.43E-06,Cas
52707,18Alp Cas,Schedar,0.675116,56.537331,70.9674,49.126,-31.595,-4,2.24,-2.015,K0II-IIIvar,1.17,38.521,6.88,59.204,3.73E-06,1.78E-05,-9.41E-06,Cas
56551,16Bet Cet,Diphda,0.72649,-17.986605,29.5334,232.79,32.71,13.3,2.04,-0.312,K0III,1.019,27.584,5.31,-9.12,7.82E-06,3.54E-05,2.55E-07,Cet
57553,,Cocibolca,0.74073647,-26.51568711,34.108,313.556,149.324,56.729,7.78,5.116,G5 V,0.664,29.948,5.882,-15.227,5.18E-05,6.30E-05,-3.81E-06,Scl
62405,,96 G. Psc,0.80638256,5.28062765,7.4352,755.894,-1141.719,-10.368,5.74,6.384,K2V,0.89,7.239,1.551,0.684,-1.23E-05,2.52E-05,-4.20E-05,Psc
63250,24Eta Cas,Achird,0.81826,57.815187,5.923,1078.609,-551.133,8.2,3.46,4.597,G0V SB,0.587,3.0824,0.6706,5.0126,1.09E-05,3.41E-05,-1.33E-06,Cas
63300,,Van Maanen's Star,0.81921586,5.39519773,4.3144,1231.399,-2711.883,54,12.37,14.195,DG,0.554,4.1974,0.915,0.4049,5.35E-05,3.80E-05,-5.13E-05,Psc
72717,28Ups-2 Cas,Castula,0.9444184,59.18105467,60.0727,-92.611,-45.397,-47.89,4.62,0.727,G8III-IV,0.957,29.841,7.532,51.59,-6.72E-06,-2.95E-05,-4.88E-05,Cas
72768,27Gam Cas,Cih,0.94513921,60.71674966,168.3502,25.65,-3.82,-7,2.15,-3.981,B0IV:E,-0.046,79.837,20.168,146.837,-5.89E-06,2.01E-05,-7.77E-06,Cas
82912,,Nenque,1.07782008,-39.48821487,42.2525,-170.033,-527.946,23.142,7.72,4.591,G2/3 V,0.613,31.319,9.08,-26.869,-3.88E-05,-4.75E-05,-9.85E-05,Phe
87352,Zet Phe,Wurren,1.13974651,-55.24575773,89.222,20.375,31.739,15,3.94,-0.812,B7 V,-0.12,48.614,14.952,-73.305,1.65E-05,1.43E-05,-4.78E-06,Phe
89000,43Bet And,Mirach,1.16220082,35.62055764,60.5327,175.59,-112.23,-0.8,2.07,-1.84,M0III,1.576,46.946,14.742,35.255,2.23E-06,5.47E-05,-2.72E-05,And
90273,,Emiw,1.17978412,-66.18815461,36.1103,110.671,-123.406,5.529,8.06,5.272,K0 IV/V,0.849,13.889,4.432,-33.036,-2.25E-05,1.31E-05,-1.39E-05,Tuc
93775,86Zet Psc,Revati,1.22885739,7.57535872,40.884,142.693,-53.051,9,5.21,2.152,F 0 VN,0.32,38.448,12.814,5.39,1.03E-06,3.02E-05,-9.21E-06,Psc
93808,86Zet Psc,Revati B,1.22923797,7.57826337,40.5029,139.506,-53.49,11,6.44,3.403,F 7 V,0.492,38.0878,12.6988,5.3416,3.23E-06,3.00E-05,-8.93E-06,Psc
104137,46Xi And,Adhil,1.37233885,45.52877917,68.4734,31.681,9.024,-12.826,4.87,0.692,K0III-IV,1.077,44.906,16.866,48.863,-1.43E-05,5.86E-06,-7.26E-06,And
107538,,Bélénos,1.42014338,28.56669677,44.8318,251.27,-157.57,19.049,7.12,3.862,F8,0.577,36.684,14.304,21.438,1.14E-05,6.30E-05,-2.08E-05,Psc
108256,37Del Cas,Ruchbah,1.430216,60.235283,31.221,296.42,-49.127,7,2.66,0.188,A5Vv SB,0.16,14.426,5.669,27.102,-7.09E-06,4.54E-05,2.52E-06,Cas
115103,99Eta Psc,Alpherg,1.52472506,15.34582789,114.5015,28.584,-3.217,15,3.62,-1.674,G5II,0.974,101.738,42.915,30.302,7.90E-06,2.06E-05,2.34E-06,Psc
121650,50Ups And,Titawin,1.613299,41.405459,13.4782,-171.892,-381.815,-28.746,4.1,3.452,F8V,0.536,9.221,4.144,8.914,-4.57E-07,-1.25E-05,-3.82E-05,And
122757,Alp Eri,Achernar,1.62854214,-57.23666007,42.7533,88.02,-40.08,16,0.45,-2.705,B3 VP,-0.158,21.066,9.568,-35.952,-5.84E-06,1.74E-05,-1.83E-05,Eri
123119,51 And,Nembus,1.63321004,48.6282122,53.9114,62.968,-111.999,16,3.59,-0.068,K3III,1.275,32.425,14.775,40.457,2.30E-05,2.86E-05,-7.07E-06,And
125360,,p Eridani,1.663169,-56.1964,8.1894,262.615,14.961,21.737,5.76,6.194,K0V,0.88,4.131,1.922,-6.805,7.26E-06,1.49E-05,-1.81E-05,Eri
125364,,p Eridani,1.66321037,-56.19648348,8.1965,309.23,10.815,20.151,5.8,6.232,K1,0.86,4.135,1.923,-6.811,5.54E-06,1.61E-05,-1.69E-05,Eri
132421,110Omi Psc,Torcular,1.75656418,9.15774949,79.811,71.227,53.727,14,4.26,-0.25,G8III,0.942,70.6081,34.9711,12.7024,-2.53E-06,2.95E-05,2.28E-05,Psc
140225,55Zet Cet,Baten Kaitos,1.85767576,-10.33504177,77.6578,39.752,-40.956,9,3.74,-0.711,K0 III,1.136,67.5396,35.7073,-13.9317,-1.44E-06,1.62E-05,-1.68E-05,Cet
142252,2Alp Tri,Mothallah,1.8846967,29.57882527,19.4175,12.02,-233.69,-16.2,3.42,1.979,F5III,0.488,14.873,7.998,9.585,-3.66E-06,-6.84E-07,-2.73E-05,Tri
142805,5Gam-2 Ari,Mesarthim,1.89217,19.293852,50.3018,79.43,-99.1,-1,3.88,0.372,A1p Si,-0.047,41.77,22.568,16.62,-3.03E-06,2.04E-05,-2.31E-05,Ari
143900,45Eps Cas,Segin,1.906584,63.670101,142.7817,29.587,-18.387,-8,3.35,-2.423,B2pvar,-0.15,55.603,30.3142,127.9682,-2.97E-06,2.17E-05,-1.30E-05,Cas
144249,6Bet Ari,Sheratan,1.910668,20.808035,17.9856,96.32,-108.8,-4,2.64,1.365,A5V...,0.165,14.753,8.063,6.389,-4.43E-06,7.15E-06,-1.03E-05,Ari
153727,113Alp Psc,Alrescha,2.0341132,2.76374242,46.1681,33.29,-0.42,9,3.82,0.498,Ap (kA0hA7 SrII),0.024,39.729,23.413,2.226,4.14E-06,1.11E-05,3.50E-07,Psc
156068,57Gam-1 And,Almach,2.064984,42.329725,120.4819,43.08,-50.85,-12,2.1,-3.305,B8V,1.37,76.368,45.841,81.132,-3.58E-06,2.72E-05,-3.02E-05,And
160205,13Alp Ari,Hamal,2.119555,23.462423,20.1776,190.73,-145.77,-14.4,2.01,0.486,K2III,1.151,15.732,9.752,8.034,-1.65E-05,1.17E-05,-1.89E-05,Ari
175559,68Omi Cet,Mira,2.32244118,-2.97764684,91.659,10.33,-239.48,64,6.47,1.659,M5/6 IIIe,0.966,75.131,52.289,-4.761,4.65E-05,3.79E-05,-0.000109673,Cet
191390,1Alp UMi,Polaris,2.52975,89.264109,132.626,44.22,-11.74,-17,1.97,-3.643,F7:Ib-IIv SB,0.636,1.343,1.048,132.615,-1.17E-05,2.69E-05,-1.75E-05,UMi
196694,,268 G. Cet,2.601357,6.88687,7.2286,1778.585,1477.306,26,5.79,6.495,K3V,0.918,5.5752,4.5182,0.8668,-2.36E-05,6.11E-05,5.46E-05,Cet
